episode_link,wiki_url,description,genres,age_rating,release_date,directors,writers,cast,tags,character_names,synopsis_with_character_names
https://www.imdb.com/title/tt0518895/?ref_=ttep_ep7,,,,,,,,,,,
https://www.imdb.com/title/tt0518919/?ref_=ttep_ep8,,,,,,,,,,,
https://www.imdb.com/title/tt0518915/?ref_=ttep_ep9,,,,,,,,,,,
https://www.imdb.com/title/tt0518893/?ref_=ttep_ep10,,,,,,,,,,,
https://www.imdb.com/title/tt0518975/?ref_=ttep_ep11,,,,,,,,,,,
https://www.imdb.com/title/tt0518814/?ref_=ttep_ep12,,,,,,,,,,,
https://www.imdb.com/title/tt0518978/?ref_=ttep_ep13,,,,,,,,,,,
https://www.imdb.com/title/tt1319927/?ref_=ttep_ep1,,"Dr. Lightman and Dr. Foster search for the truth in cases involving a devoutly religious high school student accused of killing a teacher, and a congressman accused of having an affair.",[],TV-14,Release date,['Robert Schwentke'],[''],[],"['congressman', 'murder', 'high school student', 'psychology', 'apology', 'american flag', 'adopted daughter', 'scandal', 'fundamentalist christian', 'tattoo', 'public humiliation', 'prison', 'jail', 'handcuffs', 'embarrassment', 'u.s. attorney', 'trick', 'suitcase full of money', 'stalking', 'split screen', 'skinhead', 'shame', 'sex scandal', 'sex club', 'rewind', 'pudding', 'prostitution', 'principal', 'press conference', 'pregnant teenager', 'polygraph', 'politician', 'photography', 'parking', 'nervous tic', 'lecture', 'lawyer', 'juvenile delinquent', ""jehovah's witness"", 'infidelity', 'husband wife relationship', 'honesty', 'high school teacher', 'guilt', 'flashback', 'fbi agent', 'facial expression', 'escort', 'date', 'convict']",[],"It looks like we don't have any synopsis for this title yet. Be the first to contribute.
Learn more"
https://www.imdb.com/title/tt1353573/?ref_=ttep_ep2,,"Lightman's team investigates cases involving a staff sergeant accused of raping a soldier, and a star college basketball player accused of taking a bribe from a wealthy booster.",[],TV-14,Release date,['Adam Davidson'],"['', '', '']",[],"['rape', 'college basketball', 'basketball', 'soldier', 'psychology', 'flashback', 'video camera', 'valium', 'slam dunk', 'sexual assault', 'scholarship', 'salute', 'rifle', 'record', 'polygraph', 'photograph', 'nixon', 'military police', 'homeland security', 'hidden camera', 'grandfather granddaughter relationship', 'firing range', 'female soldier', 'fear', 'egg', 'disgust', 'coercion', 'cane', 'brother brother relationship', 'bribery', 'basketball player', 'basketball court', 'baltimore maryland', 'awol', 'autograph', 'arthritis', 'arsonist', 'army base', 'anxiety', 'title spoken by character']",[],"It looks like we don't have any synopsis for this title yet. Be the first to contribute.
Learn more"
https://www.imdb.com/title/tt1347852/?ref_=ttep_ep3,,,,,,,,,,,
https://www.imdb.com/title/tt1368685/?ref_=ttep_ep4,,,,,,,,,,,
https://www.imdb.com/title/tt1368680/?ref_=ttep_ep5,,,,,,,,,,,
https://www.imdb.com/title/tt1368681/?ref_=ttep_ep6,,,,,,,,,,,
https://www.imdb.com/title/tt1368682/?ref_=ttep_ep7,,,,,,,,,,,
https://www.imdb.com/title/tt1368683/?ref_=ttep_ep8,,,,,,,,,,,
https://www.imdb.com/title/tt1328997/?ref_=ttep_ep9,,,,,,,,,,,
https://www.imdb.com/title/tt1368676/?ref_=ttep_ep10,,,,,,,,,,,
https://www.imdb.com/title/tt1368677/?ref_=ttep_ep11,,,,,,,,,,,
https://www.imdb.com/title/tt1368678/?ref_=ttep_ep12,,,,,,,,,,,
https://www.imdb.com/title/tt1368679/?ref_=ttep_ep13,,,,,,,,,,,
https://www.imdb.com/title/tt1060595/?ref_=ttep_ep1,,,,,,,,,,,
https://www.imdb.com/title/tt2457384/?ref_=ttep_ep2,,,,,,,,,,,
https://www.imdb.com/title/tt2465474/?ref_=ttep_ep3,,,,,,,,,,,
https://www.imdb.com/title/tt2471440/?ref_=ttep_ep4,,,,,,,,,,,
https://www.imdb.com/title/tt5315238/?ref_=ttep_ep5,,,,,,,,,,,
https://www.imdb.com/title/tt5315240/?ref_=ttep_ep6,,,,,,,,,,,
https://www.imdb.com/title/tt2471482/?ref_=ttep_ep7,,,,,,,,,,,
https://www.imdb.com/title/tt2501740/?ref_=ttep_ep8,,,,,,,,,,,
https://www.imdb.com/title/tt2502480/?ref_=ttep_ep9,,,,,,,,,,,
https://www.imdb.com/title/tt2504286/?ref_=ttep_ep10,,,,,,,,,,,
https://www.imdb.com/title/tt5315242/?ref_=ttep_ep11,,,,,,,,,,,
https://www.imdb.com/title/tt5315244/?ref_=ttep_ep12,,,,,,,,,,,
https://www.imdb.com/title/tt2504322/?ref_=ttep_ep13,,,,,,,,,,,
https://www.imdb.com/title/tt5325532/?ref_=ttep_ep14,,,,,,,,,,,
https://www.imdb.com/title/tt2471462/?ref_=ttep_ep15,,,,,,,,,,,
https://www.imdb.com/title/tt2471470/?ref_=ttep_ep16,,,,,,,,,,,
https://www.imdb.com/title/tt5315248/?ref_=ttep_ep17,,,,,,,,,,,
https://www.imdb.com/title/tt5315250/?ref_=ttep_ep18,,,,,,,,,,,
https://www.imdb.com/title/tt5315254/?ref_=ttep_ep19,,,,,,,,,,,
https://www.imdb.com/title/tt5315252/?ref_=ttep_ep20,,,,,,,,,,,
https://www.imdb.com/title/tt5315262/?ref_=ttep_ep21,,,,,,,,,,,
https://www.imdb.com/title/tt5315258/?ref_=ttep_ep22,,,,,,,,,,,
https://www.imdb.com/title/tt5315260/?ref_=ttep_ep23,,,,,,,,,,,
https://www.imdb.com/title/tt5325546/?ref_=ttep_ep24,,,,,,,,,,,
https://www.imdb.com/title/tt5315264/?ref_=ttep_ep25,,,,,,,,,,,
https://www.imdb.com/title/tt5315268/?ref_=ttep_ep26,,,,,,,,,,,
https://www.imdb.com/title/tt5315272/?ref_=ttep_ep27,,,,,,,,,,,
https://www.imdb.com/title/tt5315270/?ref_=ttep_ep28,,,,,,,,,,,
https://www.imdb.com/title/tt5315276/?ref_=ttep_ep29,,,,,,,,,,,
https://www.imdb.com/title/tt5315278/?ref_=ttep_ep30,,,,,,,,,,,
https://www.imdb.com/title/tt2536318/?ref_=ttep_ep31,,,,,,,,,,,
https://www.imdb.com/title/tt5349322/?ref_=ttep_ep32,,,,,,,,,,,
https://www.imdb.com/title/tt2546174/?ref_=ttep_ep33,,,,,,,,,,,
https://www.imdb.com/title/tt2546202/?ref_=ttep_ep34,,,,,,,,,,,
https://www.imdb.com/title/tt2546226/?ref_=ttep_ep35,,,,,,,,,,,
https://www.imdb.com/title/tt5315280/?ref_=ttep_ep36,,,,,,,,,,,
https://www.imdb.com/title/tt5315290/?ref_=ttep_ep37,,,,,,,,,,,
https://www.imdb.com/title/tt5315286/?ref_=ttep_ep38,,,,,,,,,,,
https://www.imdb.com/title/tt5315288/?ref_=ttep_ep39,,,,,,,,,,,
https://www.imdb.com/title/tt5315282/?ref_=ttep_ep40,,,,,,,,,,,
https://www.imdb.com/title/tt5315296/?ref_=ttep_ep41,,,,,,,,,,,
https://www.imdb.com/title/tt5315292/?ref_=ttep_ep42,,,,,,,,,,,
https://www.imdb.com/title/tt5315294/?ref_=ttep_ep43,,,,,,,,,,,
https://www.imdb.com/title/tt5315298/?ref_=ttep_ep44,,,,,,,,,,,
https://www.imdb.com/title/tt5315300/?ref_=ttep_ep45,,,,,,,,,,,
https://www.imdb.com/title/tt5315302/?ref_=ttep_ep46,,,,,,,,,,,
https://www.imdb.com/title/tt5315306/?ref_=ttep_ep47,,,,,,,,,,,
https://www.imdb.com/title/tt5315310/?ref_=ttep_ep48,,,,,,,,,,,
https://www.imdb.com/title/tt5315308/?ref_=ttep_ep49,,,,,,,,,,,
https://www.imdb.com/title/tt5315312/?ref_=ttep_ep50,,,,,,,,,,,
https://www.imdb.com/title/tt0602290/?ref_=ttep_ep1,,,,,,,,,,,
https://www.imdb.com/title/tt0773888/?ref_=ttep_ep2,,,,,,,,,,,
https://www.imdb.com/title/tt0773885/?ref_=ttep_ep3,,,,,,,,,,,
https://www.imdb.com/title/tt0602291/?ref_=ttep_ep4,,,,,,,,,,,
https://www.imdb.com/title/tt0773889/?ref_=ttep_ep5,,,,,,,,,,,
https://www.imdb.com/title/tt0773886/?ref_=ttep_ep6,,,,,,,,,,,
https://www.imdb.com/title/tt0773887/?ref_=ttep_ep7,,,,,,,,,,,
https://www.imdb.com/title/tt3823842/?ref_=ttep_ep1,,,,,,,,,,,
https://www.imdb.com/title/tt4192920/?ref_=ttep_ep2,,,,,,,,,,,
https://www.imdb.com/title/tt4192924/?ref_=ttep_ep3,,,,,,,,,,,
https://www.imdb.com/title/tt4192922/?ref_=ttep_ep4,,,,,,,,,,,
https://www.imdb.com/title/tt4192928/?ref_=ttep_ep5,,,,,,,,,,,
https://www.imdb.com/title/tt4192930/?ref_=ttep_ep6,,,,,,,,,,,
https://www.imdb.com/title/tt4192932/?ref_=ttep_ep7,,,,,,,,,,,
https://www.imdb.com/title/tt4192934/?ref_=ttep_ep8,,,,,,,,,,,
https://www.imdb.com/title/tt27440117/?ref_=ttep_ep1,,,,,,,,,,,
https://www.imdb.com/title/tt28089237/?ref_=ttep_ep2,,,,,,,,,,,
https://www.imdb.com/title/tt28089236/?ref_=ttep_ep3,,,,,,,,,,,
https://www.imdb.com/title/tt28089238/?ref_=ttep_ep4,,,,,,,,,,,
