episode_link,wiki_url,description,genres,age_rating,release_date,directors,writers,cast,tags,character_names,synopsis_with_character_names
https://www.imdb.com/title/tt5028784/?ref_=ttep_ep7,,"Captain Hammerhead has captured the Nektons aboard his sub! But his rusty vessel is about to sink. The Arronax could save them all, but first, Hammerhead would have to free the Nektons-and that's not exactly in his character.",[],TV-Y7,Release date,['Trent Carlson'],"['', '']",[],[],[],"It looks like we don't have any synopsis for this title yet. Be the first to contribute.
Learn more"
https://www.imdb.com/title/tt5028854/?ref_=ttep_ep8,,,,,,,,,,,
https://www.imdb.com/title/tt5028860/?ref_=ttep_ep9,,"Huge prehistoric crocodiles still inhabit an underwater cave system the Nektons are exploring. Ant shouldn't have bonded with that baby croc-its enormous mother doesn't take kindly to kidnappers, and now she's after him!",[],TV-Y7,Release date,['Trent Carlson'],"['', '']",[],[],[],"It looks like we don't have any synopsis for this title yet. Be the first to contribute.
Learn more"
https://www.imdb.com/title/tt5028952/?ref_=ttep_ep10,,,,,,,,,,,
https://www.imdb.com/title/tt5028958/?ref_=ttep_ep11,,"Media superstar Devil Daniels - Monster Hunter is hunting a sea creature that he believes is a menace, but the Nektons want to protect it. To make matters worse, the public are on Daniels's side!",[],TV-Y7,Release date,['Trent Carlson'],"['', '', '']",[],['title spoken by character'],[],"It looks like we don't have any synopsis for this title yet. Be the first to contribute.
Learn more"
https://www.imdb.com/title/tt5028988/?ref_=ttep_ep12,,"Does a ghost sub haunt the ocean depths? Ant believes it does, but when he actually finds this ""ghost sub"", the truth is even stranger- and much more dangerous. Ant and Fontaine find themselves trapped- by a ghost?",[],TV-Y7,Release date,['Trent Carlson'],"['', '']",[],[],[],"It looks like we don't have any synopsis for this title yet. Be the first to contribute.
Learn more"
https://www.imdb.com/title/tt5029020/?ref_=ttep_ep13,,"As the Nektons explore a mysterious tunnel behind a huge undersea waterfall, strange creatures and strong currents surprise them at every turn. Everything is not as it seems. The true nature of the tunnel will astonish them.",[],TV-Y7,Release date,['Trent Carlson'],"['', '']",[],[],[],"It looks like we don't have any synopsis for this title yet. Be the first to contribute.
Learn more"
https://www.imdb.com/title/tt5028990/?ref_=ttep_ep14,,"While diving in a rare blue hole, a sinkhole in the middle of the sea, strange things begin to happen to the Nektons. They're seeing things that can't exist. And where did the exit go? Why is there no way out?",[],TV-Y7,Release date,['Trent Carlson'],"['', '']",[],[],[],"It looks like we don't have any synopsis for this title yet. Be the first to contribute.
Learn more"
https://www.imdb.com/title/tt5029014/?ref_=ttep_ep15,,"Dolos has sold two maps leading to the same treasure: one to the Nektons, the other to the pirates! Now it's a race to get there first, and the winner will need to use every sneaky trick in the book to win.",[],TV-Y7,Release date,"['Trent Carlson', 'Michael Dowding']","['', '']",[],['pirate'],[],"It looks like we don't have any synopsis for this title yet. Be the first to contribute.
Learn more"
https://www.imdb.com/title/tt5028996/?ref_=ttep_ep16,,"Ant and Fontaine are sure they can control some young fans visiting the Aronnax. But when they have to rescue a whale calf, success depends on them and all the hyperactive kids working well together. What could go wrong?",[],TV-Y7,Release date,['Trent Carlson'],"['', '', '']",[],['character name in title'],[],"It looks like we don't have any synopsis for this title yet. Be the first to contribute.
Learn more"
