episode_link,wiki_url,description,genres,age_rating,release_date,directors,writers,cast,tags,character_names,synopsis_with_character_names
https://www.imdb.com/title/tt1359370/?ref_=ttep_ep14,,"The ship docks near Rome and London falls for a young, handsome musician named Luca while playing in the streets. Later, as Bailey searches for her money belt key, she overhears that Luca and his uncle, Marco, are actually con men and had already conned London for twenty thousand dollars.",[],TV-G,Release date,['Richard Correll'],"['', '', '']",[],[],[],"It looks like we don't have any synopsis for this title yet. Be the first to contribute.
Learn more"
https://www.imdb.com/title/tt1363433/?ref_=ttep_ep15,,A performing hypnotist entrances London into thinking she is Bailey.,[],TV-G,Release date,['Shelley Jensen'],"['', '', '']",[],[],[],"It looks like we don't have any synopsis for this title yet. Be the first to contribute.
Learn more"
https://www.imdb.com/title/tt1368382/?ref_=ttep_ep16,,"Zack and Cody are visited on the ship by their parents, who are on the ship to perform in a show, much to the twins' embarrassment.",[],TV-G,Release date,['Ellen Gittelsohn'],"['', '', '']",[],[],[],"It looks like we don't have any synopsis for this title yet. Be the first to contribute.
Learn more"
https://www.imdb.com/title/tt1477551/?ref_=ttep_ep17,,"London holds a competition between Cody and Woody to decide which one of them will accompany her on her trip to the Tipton Space Station. Desperate to win, Cody and Woody each try to sabotage the other during the competition. Meanwhile, Zack is in charge of the senior citizen's activities and meets a passenger who is unwilling to participate in any of the activities.",[],TV-G,Release date,['Ellen Gittelsohn'],"['', '', '']",[],[],[],"It looks like we don't have any synopsis for this title yet. Be the first to contribute.
Learn more"
https://www.imdb.com/title/tt1368384/?ref_=ttep_ep18,,"When Marissa, a girl with amnesia, is brought aboard the ship, Zack and Woody suspect she might be a mermaid. Cody becomes upset because of the overuse of towels on the ship.",[],TV-G,Release date,['Richard Correll'],"['', '', '']",[],[],[],"It looks like we don't have any synopsis for this title yet. Be the first to contribute.
Learn more"
https://www.imdb.com/title/tt1368383/?ref_=ttep_ep19,,"When Bailey starts feeling homesick, Cody decides to recreate her hometown festival. However, thanks to London, Bailey's hometown boyfriend, Moose, shows up. He and Cody compete in corn bobbin', arm wrestling, and chess to win Bailey's heart, but Cody loses every competition.",[],TV-G,Release date,['Danny Kallis'],"['', '', '']",[],[],[],"Bailey's(Debby Ryan) been missing Kansas lately, so Cody(Cole Sprouse) tries to cheer her up by planning a Kettle Corn-themed party, complete with all the comforts of home:square dancing, hay, farm animals...and Bailey's ex-boyfriend Moose(Hutch Dano)."
https://www.imdb.com/title/tt1453377/?ref_=ttep_ep20,,"After Kirby injures Moseby, Connie takes over Moseby's work and breaks a boat in a bottle intended as a gift for the captain. Everyone tries to comfort Moseby, but none of them do any good.",[],TV-G,Release date,['Lex Passaris'],"['', '', '']",[],['boat'],[],"It looks like we don't have any synopsis for this title yet. Be the first to contribute.
Learn more"
https://www.imdb.com/title/tt1368381/?ref_=ttep_ep21,,"Hannah Montana boards the S.S. Tipton on her way to a concert performance in Honolulu. To impress Bailey, Cody enlists Woody to help him get tickets. Meanwhile, the Russos use a little magic to spice up their vacation. Alex pulls a prank on Justin for which Mr. Moseby blames Zack, while Max introduces London to a magical suitcase.",[],TV-G,Release date,['Richard Correll'],"['', '', '']",[],[],[],"It looks like we don't have any synopsis for this title yet. Be the first to contribute.
Learn more"
https://www.imdb.com/title/tt7846164/?ref_=ttep_ep1,,A family from Maine works together to rehab a historic cabin from the 1930s in just six weeks. Can Chase and his team save the camp in time? Or will a hidden surprise underneath the cabin derail the whole project?,[],TV-G,Release date,[],[],[],[],[],"It looks like we don't have any synopsis for this title yet. Be the first to contribute.
Learn more"
https://www.imdb.com/title/tt7846166/?ref_=ttep_ep2,,"Chase and his team tackle a 1930s island cabin with major rot issues. With a budget of $30,000 and six weeks to complete the project, will the team be able to transform the cabin while maintaining all of the original rustic charm?",[],TV-G,Release date,[],[],[],[],[],"It looks like we don't have any synopsis for this title yet. Be the first to contribute.
Learn more"
https://www.imdb.com/title/tt7846172/?ref_=ttep_ep3,,,,,,,,,,,
https://www.imdb.com/title/tt7846220/?ref_=ttep_ep4,,"Chase and his team take on a dated and dysfunctional cabin in Belgrade Lakes. With a budget of $40,000 and six weeks to finish the project, will they be able to turn it into the perfect family retreat?",[],TV-G,Release date,[],[],[],[],[],"It looks like we don't have any synopsis for this title yet. Be the first to contribute.
Learn more"
https://www.imdb.com/title/tt7846230/?ref_=ttep_ep5,,"Chase and his team travel to Dedham, ME, to restore a dilapidated camp that was once an old schoolhouse. When a serious case of rot threatens to shut down the project, Chase and Ryan are forced to make an expensive decision.",[],TV-G,Release date,[],[],[],[],[],"It looks like we don't have any synopsis for this title yet. Be the first to contribute.
Learn more"
