,G,PG,PG-13,R,NC-17
Accuracy,0.2786,0.4438,0.6712,0.7814,0.7797
Precision,0.9977,0.9614,0.8215,0.0121,0.0
Recall,0.2337,0.2789,0.3847,0.7273,0.0
TPR,0.9977,0.9614,0.8215,0.0121,0.0
FPR,0.0084,0.0353,0.0743,0.2184,0.2203
