,G,PG,PG-13,R,NC-17
Accuracy,0.0795,0.26,0.5474,0.9788,0.9798
Precision,1.0,0.9835,0.9421,0.0661,0.0
Recall,0.0214,0.0261,0.0404,0.3636,0.0
TPR,1.0,0.9835,0.9421,0.0661,0.0
FPR,0.0,0.0014,0.0022,0.0189,0.0202
