rating,flagged_true,flagged_false,proportion
NC-17,319,116,0.7333333333333333
R,21287,34527,0.3813917655068621
PG-13,3678,30871,0.10645749515181337
PG,949,20698,0.043839793042915874
G,60,7020,0.00847457627118644
